position    t_arrive    t_leave
-170.000    1678745669.385    1678745674.395
-150.006    1678745676.453    1678745681.460
-120.009    1678745683.848    1678745688.853
-90.001    1678745691.244    1678745696.250
-60.007    1678745698.647    1678745703.650
-30.003    1678745706.035    1678745711.045
-0.046    1678745713.430    1678745718.432
30.001    1678745720.823    1678745725.828
60.005    1678745728.218    1678745733.224
90.001    1678745735.618    1678745740.622
120.007    1678745743.011    1678745748.018
169.988    1678745751.079    1678745756.080
