position    t_arrive    t_leave
-170.005    1678747741.338    1678747746.350
-150.004    1678747748.410    1678747753.421
-120.005    1678747755.816    1678747760.821
-90.003    1678747763.213    1678747768.218
-60.008    1678747770.611    1678747775.613
-30.005    1678747778.002    1678747783.004
-0.045    1678747785.391    1678747790.402
30.002    1678747792.792    1678747797.794
60.009    1678747800.180    1678747805.182
90.002    1678747807.572    1678747812.578
120.002    1678747814.977    1678747819.988
169.991    1678747823.046    1678747828.055
