position    t_arrive    t_leave
-170.000    1680644744.709    1680644749.710
-149.995    1680644751.768    1680644756.776
-120.032    1680644759.167    1680644764.168
-89.997    1680644766.563    1680644771.571
-60.029    1680644773.960    1680644778.961
-29.996    1680644781.346    1680644786.358
-0.047    1680644788.750    1680644793.760
30.003    1680644796.155    1680644801.161
59.989    1680644803.548    1680644808.553
89.975    1680644810.946    1680644815.947
119.999    1680644818.343    1680644823.353
170.001    1680644826.409    1680644831.418
