position    t_arrive    t_leave
-170.000    1680649408.155    1680649413.161
-149.996    1680649415.219    1680649420.230
-120.030    1680649422.619    1680649427.629
-89.992    1680649430.022    1680649435.033
-60.026    1680649437.428    1680649442.434
-30.006    1680649444.824    1680649449.832
-0.047    1680649452.220    1680649457.232
30.002    1680649459.626    1680649464.635
60.000    1680649467.020    1680649472.031
89.974    1680649474.424    1680649479.434
119.994    1680649481.825    1680649486.827
169.975    1680649489.885    1680649494.886
