position    t_arrive    t_leave
-170.000    1680647669.491    1680647674.503
-149.999    1680647676.609    1680647681.619
-120.032    1680647684.005    1680647689.016
-89.996    1680647691.404    1680647696.414
-60.035    1680647698.809    1680647703.812
-29.997    1680647706.209    1680647711.216
-0.047    1680647713.614    1680647718.628
30.001    1680647721.016    1680647726.025
59.992    1680647728.420    1680647733.429
90.000    1680647735.825    1680647740.832
120.011    1680647743.219    1680647748.223
170.002    1680647751.288    1680647756.298
